Stock Ticker,Datetime,Open,High,Low,Close,Adj_Close,Volume
AAPL,2023-03-13 09:30:00-04:00,147.80499267578125,150.10000610351562,147.6999969482422,149.16000366210938,149.16000366210938,4418102
AAPL,2023-03-13 09:35:00-04:00,149.17999267578125,149.22999572753906,148.12100219726562,148.6999969482422,148.6999969482422,1473746
AAPL,2023-03-13 09:40:00-04:00,148.72000122070312,149.00999450683594,148.4199981689453,148.75,148.75,1252983
AAPL,2023-03-13 09:45:00-04:00,148.75,150.3000030517578,148.56100463867188,150.02000427246094,150.02000427246094,1812591
AAPL,2023-03-13 09:50:00-04:00,150.02999877929688,150.5800018310547,149.92999267578125,150.4499969482422,150.4499969482422,1460521
AAPL,2023-03-13 09:55:00-04:00,150.4499969482422,151.13999938964844,150.27999877929688,150.74000549316406,150.74000549316406,1497328
AAPL,2023-03-13 10:00:00-04:00,150.74000549316406,151.08999633789062,150.39999389648438,150.80380249023438,150.80380249023438,1196559
AAPL,2023-03-13 10:05:00-04:00,150.80999755859375,151.47000122070312,150.27000427246094,151.13510131835938,151.13510131835938,1500559
AAPL,2023-03-13 10:10:00-04:00,151.1199951171875,151.27999877929688,150.57000732421875,150.889892578125,150.889892578125,1366917
AAPL,2023-03-13 10:15:00-04:00,150.8699951171875,151.02000427246094,150.31509399414062,150.60000610351562,150.60000610351562,1365176
AAPL,2023-03-13 10:20:00-04:00,150.57000732421875,151.2550048828125,150.4199981689453,150.8699951171875,150.8699951171875,1076096
AAPL,2023-03-13 10:25:00-04:00,150.8800048828125,151.17999267578125,150.66000366210938,150.85000610351562,150.85000610351562,993513
AAPL,2023-03-13 10:30:00-04:00,150.8699951171875,151.8699951171875,150.66000366210938,151.5800018310547,151.5800018310547,1605251
AAPL,2023-03-13 10:35:00-04:00,151.5749969482422,151.66000366210938,150.9199981689453,151.26010131835938,151.26010131835938,988562
AAPL,2023-03-13 10:40:00-04:00,151.27999877929688,151.3643035888672,150.5399932861328,150.99000549316406,150.99000549316406,1101378
AAPL,2023-03-13 10:45:00-04:00,150.97999572753906,151.19529724121094,150.6999969482422,151.00999450683594,151.00999450683594,961887
AAPL,2023-03-13 10:50:00-04:00,151.00999450683594,151.0800018310547,150.19000244140625,150.69000244140625,150.69000244140625,1187286
AAPL,2023-03-13 10:55:00-04:00,150.61000061035156,151.75,150.61000061035156,151.56109619140625,151.56109619140625,1308380
AAPL,2023-03-13 11:00:00-04:00,151.56500244140625,152.16000366210938,151.34010314941406,151.74989318847656,151.74989318847656,1316622
AAPL,2023-03-13 11:05:00-04:00,151.77000427246094,152.14999389648438,151.66000366210938,151.91000366210938,151.91000366210938,1141956
AAPL,2023-03-13 11:10:00-04:00,151.89999389648438,152.5500030517578,151.85000610351562,152.0753936767578,152.0753936767578,1242022
AAPL,2023-03-13 11:15:00-04:00,152.08999633789062,152.66000366210938,152.05999755859375,152.3300018310547,152.3300018310547,1041269
AAPL,2023-03-13 11:20:00-04:00,152.35000610351562,152.4250030517578,151.61000061035156,151.97000122070312,151.97000122070312,985804
AAPL,2023-03-13 11:25:00-04:00,151.99000549316406,152.63999938964844,151.9499969482422,152.55999755859375,152.55999755859375,1153601
AAPL,2023-03-13 11:30:00-04:00,152.55999755859375,152.67999267578125,152.25999450683594,152.45559692382812,152.45559692382812,865698
AAPL,2023-03-13 11:35:00-04:00,152.4600067138672,152.63999938964844,152.27000427246094,152.44000244140625,152.44000244140625,974015
AAPL,2023-03-13 11:40:00-04:00,152.4499969482422,152.9199981689453,152.4199981689453,152.67410278320312,152.67410278320312,998491
AAPL,2023-03-13 11:45:00-04:00,152.66000366210938,153.13999938964844,152.50999450683594,153.0800018310547,153.0800018310547,1193276
AAPL,2023-03-13 11:50:00-04:00,153.0800018310547,153.1199951171875,152.3300018310547,152.3343963623047,152.3343963623047,916446
